task_id,statement
TR039,Gisele Bündchen has a twin brother.
TR099,"Mongols put salt, not sugar, in their tea."
TR067,"In men, excessive sex drive is not called nymphomania, but satyriasis."
TR004,The air pump is a French invention.
TR097,Panarellos are steam wand adaptors on espresso machines.
TR069,Tigers not only have striped fur but also striped skin.
TR070,The Yukon is the third longest river in the United States.
TR100,The first windmills were built in Persia.
TR001,The natural red dye in the shells of crustaceans is called xanthophyll.
TR007,The capital of Madagascar is Toamasina.
TR005,A galactic year takes 2500 terrestrial years.
TR006,Socrates was Alexander the Great's teacher.
TR037,'Au rendez-vous des amis' is a painting by August Macke.
TR066,Canada has the world's longest coastline.
TR036,The German boxer Henry Maske became world champion in the cruiserweight class.
TR065,The peace treaty ending the Franco-German War was signed in Frankfurt.
TR101,Herbert Blumer was the leading symbolic interactionist of his time.
TR033,The all-wheel drive was invented in England in 1938.
TR035,The Prussian King Augustus I the Strong was nicknamed the Soldier King.
TR068,Alberto Fujimori served as president of Peru from 1990 − 2000.
TR008,Valparaiso is one of Angola's biggest cities.
TR072,The band 'Oasis' named itself after a leisure centre.
TR104,The German rock band Tokio Hotel was previously called 'Devilish'.
TR003,The fourth man on the moon was Charles P. Conrad.
TR102,Semiotics is the philosophical theory of signs.
TR034,The first UN Secretary-General was Dag Hammarskjöld from Sweden.
TR038,Richard Gere and Cindy Crawford got married in Mexico.
TR098,"Blackberries, raspberries, and strawberries belong to the Rose family."
TR002,Sac fungi belong to the Protista family.
TR071,The mathematician Leonhard Euler's Latin squares were the earliest precursors to Sudoku.
TR040,The sun's photosphere can only be observed through a coronagraph.
TR103,A housefly has a maximum lifespan of 70 days.
